flag,flag_reason,product,naics_2017,naics_name,match_source,description,census_2017_pxi_product_code
concept,scrap -> BEA S00401; paperboard mills consume it,recyclable paper and paperboard,322130,Paperboard Mills,govai,Recyclable paper and paperboard,
concept,scrap -> BEA S00401; photographic film manufacturing is unrelated,recyclable plastics and rubber,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",govai,Recyclable plastics and rubber,
concept,the paper half is 322xxx; 326199 is plastics only,nonpackaging paper and plastic,326199,All Other Plastics Product Manufacturing,govai,Nonpackaging paper and plastic,
concept,"inputs to glass mfg, not pressed and blown glass",materials and supplies for glass products manufacturing,327212,Other Pressed and Blown Glass and Glassware Manufacturing,govai,Materials and supplies for glass products manufacturing,
concept,"scrap -> BEA S00401; a steel mill consumes scrap, it is not scrap",recyclable ferrous metal scrap,331110,Iron and Steel Mills and Ferroalloy Manufacturing,govai,Recyclable ferrous metal scrap,
concept,"-> 331110/331221 mills and rolled shapes, not pipe and tube",stainless steel,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,govai,Stainless steel,
concept,scrap -> BEA S00401,recyclable nonferrous metal scrap,331420,"Copper Rolling, Drawing, Extruding, and Alloying",govai,Recyclable nonferrous metal scrap,
concept,"-> 333318 commercial and service industry equipment, not HVAC",store equipment,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,govai,Store equipment,
concept,"-> 332215 cutlery and flatware, not jewelry and silverware","cutlery, except disposable plastics",339910,Jewelry and Silverware Manufacturing,govai,"Cutlery, except disposable plastics",
concept,"-> 332999/339999; 339994 is brooms, brushes and mops",fire extinguishers and fire safety equipment,339994,"Broom, Brush, and Mop Manufacturing",govai,Fire extinguishers and fire safety equipment,
concept,"-> 339999; 339994 is brooms, brushes and mops",religious supplies,339994,"Broom, Brush, and Mop Manufacturing",govai,Religious supplies,
concept,LP is a product (324110/325120); 486110 is pipeline transport,liquefied petroleum (lp),486110,Pipeline Transportation of Crude Oil,govai,Liquefied petroleum (LP),
mixed,broad mixed-goods category; left unmapped by decision,"household paper and plastic products, not elsewhere classified",322220,Paper Bag and Coated and Treated Paper Manufacturing,govai,"Household paper and plastic products, not elsewhere classified",
mixed,broad mixed-goods category; left unmapped by decision,"other fuels, not elsewhere classified",324199,All Other Petroleum and Coal Products Manufacturing,govai,"Other fuels, not elsewhere classified",
mixed,broad mixed-goods category; left unmapped by decision,"specialized industrial machinery and equipment, including welding, not elsewhere classified",333249,Other Industrial Machinery Manufacturing,govai,"Specialized industrial machinery and equipment, including welding, not elsewhere classified",
mixed,broad mixed-goods category; left unmapped by decision,"materials and supplies for professional and service industries, not elsewhere classified",333999,All Other Miscellaneous General Purpose Machinery Manufacturing,govai,"Materials and supplies for professional and service industries, not elsewhere classified",
mixed,broad mixed-goods category; left unmapped by decision,"new industrial machinery and equipment, not elsewhere classified, including storage tanks, pumps, and scales",333999,All Other Miscellaneous General Purpose Machinery Manufacturing,govai,"New industrial machinery and equipment, not elsewhere classified, including storage tanks, pumps, and scales",
mixed,broad mixed-goods category; left unmapped by decision,"other goods, not elsewhere classified",339999,All Other Miscellaneous Manufacturing,govai,"Other goods, not elsewhere classified",
mixed,broad mixed-goods category; left unmapped by decision,"other goods, not elsewhere classified",339999,All Other Miscellaneous Manufacturing,govai,"Other goods, not elsewhere classified",
mixed,broad mixed-goods category; left unmapped by decision,"new industrial machinery and equipment, not elsewhere classified, including storage tanks, pumps and scales",,,unmatched,"Wholesale sales of new industrial machinery and equipment, not elsewhere classified, including storage tanks, pumps and scales",4002425000
,,fresh fruits and vegetables,1112,Vegetable and Melon Farming,manual,Wholesale sales of fresh fruits and vegetables,4000200000
,,fresh fruits and vegetables,1113,Fruit and Tree Nut Farming,manual,Wholesale sales of fresh fruits and vegetables,4000200001
,,"fresh meat and meat products, except canned and frozen",1121,Cattle Ranching and Farming,manual,"Wholesale sales of fresh meat and meat products, except canned and frozen",4000175000
,,"dairy products, except dried, canned, condensed, and evaporated dairy products",11212,Dairy Cattle and Milk Production,manual,"Wholesale sales of dairy products, except dried, canned, condensed, and evaporated dairy products",4000050000
,,"fresh meat and meat products, except canned and frozen",1122,Hog and Pig Farming,manual,"Wholesale sales of fresh meat and meat products, except canned and frozen",4000175001
,,"eggs and poultry, except canned and frozen poultry products",1123,Poultry and Egg Production,manual,"Wholesale sales of eggs and poultry, except canned and frozen poultry products",4000075000
,,"fresh meat and meat products, except canned and frozen",1124,Sheep and Goat Farming,manual,"Wholesale sales of fresh meat and meat products, except canned and frozen",4000175002
,,"fish and seafood, except canned and frozen fish and seafood",1125,Aquaculture,manual,"Wholesale sales of fish and seafood, except canned and frozen fish and seafood",4000150002
,,"fish and seafood, except canned and frozen fish and seafood",1141,Fishing,manual,"Wholesale sales of fish and seafood, except canned and frozen fish and seafood",4000150000
,,crude oil,211120,Crude Petroleum Extraction,govai,Crude oil,
,,coal,212112,Bituminous Coal Underground Mining,govai,Coal,
,,pet foods and supplies,311119,Other Animal Food Manufacturing,govai,Pet foods and supplies,
,,baking ingredients,31121,Flour Milling and Malt Manufacturing,manual,Wholesale sales of baking ingredients,4000225000
,,baking ingredients,31122,Starch and Vegetable Fats and Oils Manufacturing,manual,Wholesale sales of baking ingredients,4000225001
,,"soybean, cottonseed, linseed, peanut, sunflower seed, and all other oilseed cake and meal",311224,Soybean and Other Oilseed Processing,manual,"Wholesale sales of soybean, cottonseed, linseed, peanut, sunflower seed, and all other oilseed cake and meal",4000230000
,,"inedible animal or vegetable greases and oil, including linseed and cottonseed oil",311225,Fats and Oils Refining and Blending,govai,"Inedible animal or vegetable greases and oil, including linseed and cottonseed oil",
,,"soybean, cottonseed, linseed, peanut, sunflower seed, and all other oilseed cake and meal",311225,Fats and Oils Refining and Blending,manual,"Wholesale sales of soybean, cottonseed, linseed, peanut, sunflower seed, and all other oilseed cake and meal",4000230000
,,confectionery and snack foods,3113,Sugar and Confectionery Product Manufacturing,manual,Wholesale sales of confectionery and snack foods,4000100000
,,"candy, prepackaged cookies, and snack foods",311340,Nonchocolate Confectionery Manufacturing,govai,"Candy, prepackaged cookies, and snack foods",
,,packaged frozen food,31141,Frozen Food Manufacturing,manual,Wholesale sales of packaged frozen food,4000025000
,,frozen foods,311412,Frozen Specialty Food Manufacturing,govai,Frozen foods,
,,nonperishable (canned and packaged) food,31142,"Fruit and Vegetable Canning, Pickling, and Drying",manual,Wholesale sales of nonperishable (canned and packaged) food,4000250002
,,food dry goods and other foods purchased for future consumption,311423,Dried and Dehydrated Food Manufacturing,govai,Food dry goods and other foods purchased for future consumption,
,,"dairy products, except dried, canned, condensed, and evaporated dairy products",311511,Fluid Milk Manufacturing,manual,"Wholesale sales of dairy products, except dried, canned, condensed, and evaporated dairy products",4000050001
,,"dairy products, except dried, canned, condensed, and evaporated dairy products",311512,Creamery Butter Manufacturing,manual,"Wholesale sales of dairy products, except dried, canned, condensed, and evaporated dairy products",4000050002
,,"dairy products, except dried, canned, condensed, and evaporated dairy products",311513,Cheese Manufacturing,manual,"Wholesale sales of dairy products, except dried, canned, condensed, and evaporated dairy products",4000050003
,,nonperishable (canned and packaged) food,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",manual,Wholesale sales of nonperishable (canned and packaged) food,4000250001
,,packaged frozen food,31152,Ice Cream and Frozen Dessert Manufacturing,manual,Wholesale sales of packaged frozen food,4000025001
,,"fresh meat and meat products, except canned and frozen",311611,Animal (except Poultry) Slaughtering,manual,"Wholesale sales of fresh meat and meat products, except canned and frozen",4000175003
,,fresh meat and poultry,311611,Animal (except Poultry) Slaughtering,govai,Fresh meat and poultry,
,,"fresh meat and meat products, except canned and frozen",311612,Meat Processed from Carcasses,manual,"Wholesale sales of fresh meat and meat products, except canned and frozen",4000175004
,,"fresh meat and meat products, except canned and frozen",311613,Rendering and Meat Byproduct Processing,manual,"Wholesale sales of fresh meat and meat products, except canned and frozen",4000175005
,,"eggs and poultry, except canned and frozen poultry products",311615,Poultry Processing,manual,"Wholesale sales of eggs and poultry, except canned and frozen poultry products",4000075000
,,"cookies, bread, and baked goods",31181,Bread and Bakery Product Manufacturing,manual,"Wholesale sales of cookies, bread, and baked goods",4000125000
,,baked goods,311812,Commercial Bakeries,govai,Baked goods,
,,nonperishable (canned and packaged) food,31191,Snack Food Manufacturing,manual,Wholesale sales of nonperishable (canned and packaged) food,4000250000
,,"coffee, tea, and powdered drink mixes",31192,Coffee and Tea Manufacturing,manual,"Wholesale sales of coffee, tea, and powdered drink mixes",4000300000
,,"food and beverage basic materials, including flavoring extracts, fruit peel, sausage casings, hop extract, malt, and yeast",31193,Flavoring Syrup and Concentrate Manufacturing,manual,"Wholesale sales of food and beverage basic materials, including flavoring extracts, fruit peel, sausage casings, hop extract, malt, and yeast",4000325000
,,nonperishable (canned and packaged) food,31194,Seasoning and Dressing Manufacturing,manual,Wholesale sales of nonperishable (canned and packaged) food,4000250003
,,grocery specialties,311991,Perishable Prepared Food Manufacturing,manual,Wholesale sales of grocery specialties,4000275000
,,perishable prepared foods,311991,Perishable Prepared Food Manufacturing,govai,Perishable prepared foods,
,,nonperishable (canned and packaged) food,311999,All Other Miscellaneous Food Manufacturing,manual,Wholesale sales of nonperishable (canned and packaged) food,4000250004
,,soft drinks and nonalcoholic beverages,312111,Soft Drink Manufacturing,govai,Soft drinks and nonalcoholic beverages,
,,"soft drinks, bottled water, juices, and nonalcoholic beverages",312111,Soft Drink Manufacturing,manual,"Wholesale sales of soft drinks, bottled water, juices, and nonalcoholic beverages",4000350000
,,"soft drinks, bottled water, juices, and nonalcoholic beverages",312112,Bottled Water Manufacturing,manual,"Wholesale sales of soft drinks, bottled water, juices, and nonalcoholic beverages",4000350001
,,ice,312113,Ice Manufacturing,manual,Wholesale sales of ice,4000425000
,,beer and ale,31212,Breweries,manual,Wholesale sales of beer and ale,4000375000
,,brewers' products,312120,Breweries,govai,Brewers' products,
,,tobacco products and electronic cigarettes,3122,Tobacco Manufacturing,manual,Wholesale sales of tobacco products and electronic cigarettes,4000450000
,,tobacco products and smoking accessories,312230,Tobacco Manufacturing,govai,Tobacco products and smoking accessories,
,,yarns,313110,"Fiber, Yarn, and Thread Mills",govai,Yarns,
,,"fabrics, yarns, and other sewing materials and supplies",313210,Broadwoven Fabric Mills,govai,"Fabrics, yarns, and other sewing materials and supplies",
,,knit and woven piece goods,313210,Broadwoven Fabric Mills,govai,Knit and woven piece goods,
,,"other textile house furnishings, except floor coverings",3141,Textile Furnishings Mills,manual,"Wholesale sales of other textile house furnishings, except floor coverings",4000800000
,,domestics and other textile home furnishings (except carpet and rugs),314120,Curtain and Linen Mills,govai,Domestics and other textile home furnishings (except carpet and rugs),
,,"textile bags, bagging and burlap",314910,Textile Bag and Canvas Mills,govai,"Textile bags, bagging and burlap",
,,men's and boys' clothing,31522,Men’s and Boys’ Cut and Sew Apparel Manufacturing,manual,Wholesale sales of men's and boys' clothing,4000500000
,,men's clothing,315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing,govai,Men's clothing,
,,"infants' and children's clothing, to size 6x, including accessories",31524,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing",manual,"Wholesale sales of infants' and children's clothing, to size 6X, including accessories",4000550000
,,"women's, misses', and girls' clothing",31524,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing",manual,"Wholesale sales of women's, misses', and girls' clothing ",4000525000
,,"children's wear, including boys', girls', and infants' and toddlers' clothing and accessories",315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing",govai,"Children's wear, including boys', girls', and infants' and toddlers' clothing and accessories",
,,women's clothing,315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing",govai,Women's clothing,
,,athletic uniforms,31528,Other Cut and Sew Apparel Manufacturing,manual,Wholesale sales of athletic uniforms,4000575000
,,"costumes, vestments, and unisex clothing",315280,Other Cut and Sew Apparel Manufacturing,govai,"Costumes, vestments, and unisex clothing",
,,clothing accessories,3159,Apparel Accessories and Other Apparel Manufacturing,manual,Wholesale sales of clothing accessories,4000625000
,,men's and women's accessories (except costume jewelry),315990,Apparel Accessories and Other Apparel Manufacturing,govai,Men's and women's accessories (except costume jewelry),
,,footwear and footwear accessories,3162,Footwear Manufacturing,manual,Wholesale sales of footwear and footwear accessories,4000600000
,,"luggage, including backpacks",316992,Women's Handbag and Purse Manufacturing,govai,"Luggage, including backpacks",
,,flooring and floor coverings,321918,Other Millwork (including Flooring),govai,Flooring and floor coverings,
,,millwork,321918,Other Millwork (including Flooring),govai,Millwork,
,,pallets and skids,321920,Wood Container and Pallet Manufacturing,govai,Pallets and skids,
,,manufactured (mobile) homes,321991,Manufactured Home (Mobile Home) Manufacturing,govai,Manufactured (mobile) homes,
,,printing paper,322121,Paper (except Newsprint) Mills,govai,Printing paper,
,,packing and packaging materials and supplies,322220,Paper Bag and Coated and Treated Paper Manufacturing,govai,Packing and packaging materials and supplies,
,,gift wrap,322230,Stationery Product Manufacturing,govai,Gift wrap,
,,"personal care paper products, including disposable diapers, feminine hygiene products, and similar",322291,Sanitary Paper Product Manufacturing,govai,"Personal care paper products, including disposable diapers, feminine hygiene products, and similar",
,,books,323117,Books Printing,govai,Books,
,,automotive fuels,324110,Petroleum Refineries,govai,Automotive fuels,
,,"refined petroleum products, except liquefied petroleum (lp)",324110,Petroleum Refineries,govai,"Refined petroleum products, except liquefied petroleum (LP)",
,,"other petroleum products, including asphalt, road oil, and wax",324121,Asphalt Paving Mixture and Block Manufacturing,govai,"Other petroleum products, including asphalt, road oil, and wax",
,,"nonwood roofing, siding, and insulation products",324122,Asphalt Shingle and Coating Materials Manufacturing,govai,"Nonwood roofing, siding, and insulation products",
,,lubricating oil and greases,324191,Petroleum Lubricating Oil and Grease Manufacturing,govai,Lubricating oil and greases,
,,"household fuels, including oil, lp gas, wood, coal",324199,All Other Petroleum and Coal Products Manufacturing,govai,"Household fuels, including oil, LP gas, wood, coal",
,,"chemicals, except explosives and automotive, drillers, and sanitation chemicals",325199,All Other Basic Organic Chemical Manufacturing,govai,"Chemicals, except explosives and automotive, drillers, and sanitation chemicals",
,,"laminates, plastic raw materials, and crude rubber",325211,Plastics Material and Resin Manufacturing,govai,"Laminates, plastic raw materials, and crude rubber",
,,synthetic resins,325211,Plastics Material and Resin Manufacturing,govai,Synthetic resins,
,,"farm supplies, including agricultural chemicals, feed, and fertilizers",325312,Phosphatic Fertilizer Manufacturing,govai,"Farm supplies, including agricultural chemicals, feed, and fertilizers",
,,farm and agricultural supplies,325314,Fertilizer (Mixing Only) Manufacturing,govai,Farm and agricultural supplies,
,,nonagricultural insecticides,325320,Pesticide and Other Agricultural Chemical Manufacturing,govai,Nonagricultural insecticides,
,,"medicines, vitamins, minerals, and supplements",325411,Medicinal and Botanical Manufacturing,govai,"Medicines, vitamins, minerals, and supplements",
,,vitamins and nutritional and herbal supplements,325411,Medicinal and Botanical Manufacturing,govai,Vitamins and nutritional and herbal supplements,
,,"specialty pharmaceuticals, including vaccines, laboratory diagnostic reagents, and similar",325412,Pharmaceutical Preparation Manufacturing,govai,"Specialty pharmaceuticals, including vaccines, laboratory diagnostic reagents, and similar",
,,paint and sundries,325510,Paint and Coating Manufacturing,govai,Paint and sundries,
,,"paint, paint supplies, and wallpaper and supplies",325510,Paint and Coating Manufacturing,govai,"Paint, paint supplies, and wallpaper and supplies",
,,"miscellaneous chemicals and supplies, including adhesives, dry ice and plastic materials",325520,Adhesive Manufacturing,govai,"Miscellaneous chemicals and supplies, including adhesives, dry ice and plastic materials",
,,"bath, facial, and hand soaps",325611,Soap and Other Detergent Manufacturing,govai,"Bath, facial, and hand soaps",
,,household cleaning supplies,325611,Soap and Other Detergent Manufacturing,govai,Household cleaning supplies,
,,personal hygiene supplies,325611,Soap and Other Detergent Manufacturing,govai,Personal hygiene supplies,
,,cleaning chemicals,325612,Polish and Other Sanitation Good Manufacturing,govai,Cleaning chemicals,
,,cosmetics and fragrances,325620,Toilet Preparation Manufacturing,govai,Cosmetics and fragrances,
,,"ink and printing trades supplies, except paper",325910,Printing Ink Manufacturing,govai,"Ink and printing trades supplies, except paper",
,,photographic supplies,325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",govai,Photographic supplies,
,,"automotive chemicals, including polishes and cleaners, fuel and oil additives, and antifreeze",325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,govai,"Automotive chemicals, including polishes and cleaners, fuel and oil additives, and antifreeze",
,,disposable paper and plastic products,326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,govai,Disposable paper and plastic products,
,,plastic plumbing pipes and tubing,326122,Plastics Pipe and Pipe Fitting Manufacturing,govai,Plastic plumbing pipes and tubing,
,,building and construction polystyrene and polyurethane foam products,326140,Polystyrene Foam Product Manufacturing,govai,Building and construction polystyrene and polyurethane foam products,
,,"balloons, clothes hangers, foam mats, lawn ornaments, and jewelry boxes",326199,All Other Plastics Product Manufacturing,govai,"Balloons, clothes hangers, foam mats, lawn ornaments, and jewelry boxes",
,,"plastic pipes, rods, tubes, and shapes, except plastic plumbing pipes",326199,All Other Plastics Product Manufacturing,govai,"Plastic pipes, rods, tubes, and shapes, except plastic plumbing pipes",
,,tires and tubes,326211,Tire Manufacturing (except Retreading),govai,Tires and tubes,
,,"tableware, kitchenware, cookware, glassware",327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",govai,"Tableware, kitchenware, cookware, glassware",
,,"concrete, cement, sand, gravel, stone, brick, block, and tile",327310,Cement Manufacturing,govai,"Concrete, cement, sand, gravel, stone, brick, block, and tile",
,,other construction materials and supplies,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,govai,Other construction materials and supplies,
,,iron and steel pipes and tubing,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,govai,Iron and steel pipes and tubing,
,,alloy steel,331221,Rolled Steel Shape Manufacturing,govai,Alloy steel,
,,flat iron and steel products,331221,Rolled Steel Shape Manufacturing,govai,Flat iron and steel products,
,,"iron and steel bars and bar-size shapes, except reinforcement bars",331221,Rolled Steel Shape Manufacturing,govai,"Iron and steel bars and bar-size shapes, except reinforcement bars",
,,semi-finished iron and steel products,331221,Rolled Steel Shape Manufacturing,govai,Semi-finished iron and steel products,
,,"nails, wire rope, strand, strapping and reinforcement mesh",331222,Steel Wire Drawing,govai,"Nails, wire rope, strand, strapping and reinforcement mesh",
,,"wire, including plain, coated, barbed, and twisted",331222,Steel Wire Drawing,govai,"Wire, including plain, coated, barbed, and twisted",
,,"primary, secondary and alloyed aluminum in primary and mill shapes",331313,Alumina Refining and Primary Aluminum Production,govai,"Primary, secondary and alloyed aluminum in primary and mill shapes",
,,"other primary, secondary and alloyed nonferrous metals in primary and mill shapes",331410,Nonferrous Metal (except Aluminum) Smelting and Refining,govai,"Other primary, secondary and alloyed nonferrous metals in primary and mill shapes",
,,precious metals,331410,Nonferrous Metal (except Aluminum) Smelting and Refining,govai,Precious metals,
,,copper plumbing pipes and tubing,331420,"Copper Rolling, Drawing, Extruding, and Alloying",govai,Copper plumbing pipes and tubing,
,,"primary, secondary and alloyed copper and brass in primary and mill shapes, except pipe and tube",331420,"Copper Rolling, Drawing, Extruding, and Alloying",govai,"Primary, secondary and alloyed copper and brass in primary and mill shapes, except pipe and tube",
,,nonpower driven hand tools,332216,Saw Blade and Handtool Manufacturing,govai,Nonpower driven hand tools,
,,metal structural products,332312,Fabricated Structural Metal Manufacturing,govai,Metal structural products,
,,industrial containers and supplies,332439,Other Metal Container Manufacturing,govai,Industrial containers and supplies,
,,"hardware, nonpower hand tools, and other building materials and supplies",332510,Hardware Manufacturing,govai,"Hardware, nonpower hand tools, and other building materials and supplies",
,,"bolts, nuts, rivets, and other fasteners, except nails",332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",govai,"Bolts, nuts, rivets, and other fasteners, except nails",
,,"other industrial materials and supplies, including abrasives and welding supplies",332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",govai,"Other industrial materials and supplies, including abrasives and welding supplies",
,,"industrial valves and fittings, except hydraulic valves and fittings",332911,Industrial Valve Manufacturing,govai,"Industrial valves and fittings, except hydraulic valves and fittings",
,,"hydraulic and pneumatic components, accessories, and parts",332912,Fluid Power Valve and Hose Fitting Manufacturing,govai,"Hydraulic and pneumatic components, accessories, and parts",
,,hydraulic and pneumatic valves,332912,Fluid Power Valve and Hose Fitting Manufacturing,govai,Hydraulic and pneumatic valves,
,,"plumbing equipment, except pipes and tubing",332913,Plumbing Fixture Fitting and Trim Manufacturing,govai,"Plumbing equipment, except pipes and tubing",
,,"plumbing, electrical, and hvac supplies",332913,Plumbing Fixture Fitting and Trim Manufacturing,govai,"Plumbing, electrical, and HVAC supplies",
,,safes and vaults,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,govai,Safes and vaults,
,,strapping and tape,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,govai,Strapping and tape,
,,farm machinery and equipment,333111,Farm Machinery and Equipment Manufacturing,govai,Farm machinery and equipment,
,,farm machinery parts and supplies,333111,Farm Machinery and Equipment Manufacturing,govai,Farm machinery parts and supplies,
,,new irrigation equipment and parts,333111,Farm Machinery and Equipment Manufacturing,govai,New irrigation equipment and parts,
