product,description,census_2017_pxi_product_code,naics_2017,match_source
"hydraulic and pneumatic components, accessories, and parts","Hydraulic and pneumatic components, accessories, and parts",,332912,govai
hydraulic and pneumatic cylinders and rotary actuators,Hydraulic and pneumatic cylinders and rotary actuators,,333995,govai
"hydraulic and pneumatic pumps, motors, and parts","Hydraulic and pneumatic pumps, motors, and parts",,333996,govai
hydraulic and pneumatic valves,Hydraulic and pneumatic valves,,332912,govai
indoor home furniture,Indoor home furniture,,337121,govai
industrial containers and supplies,Industrial containers and supplies,,332439,govai
industrial engines,Industrial engines,,333618,govai
"industrial valves and fittings, except hydraulic valves and fittings","Industrial valves and fittings, except hydraulic valves and fittings",,332911,govai
industrial water treatment equipment,Industrial water treatment equipment,,333318,govai
"industrial, commercial, and service industry machinery parts and supplies","Industrial, commercial, and service industry machinery parts and supplies",,333249,govai
"inedible animal or vegetable greases and oil, including linseed and cottonseed oil","Inedible animal or vegetable greases and oil, including linseed and cottonseed oil",,311225,govai
"ink and printing trades supplies, except paper","Ink and printing trades supplies, except paper",,325910,govai
"iron and steel bars and bar-size shapes, except reinforcement bars","Iron and steel bars and bar-size shapes, except reinforcement bars",,331221,govai
iron and steel pipes and tubing,Iron and steel pipes and tubing,,331210,govai
janitorial supplies and nonpower janitorial equipment,Janitorial supplies and nonpower janitorial equipment,,339994,govai
knit and woven piece goods,Knit and woven piece goods,,313210,govai
"laminates, plastic raw materials, and crude rubber","Laminates, plastic raw materials, and crude rubber",,325211,govai
liquefied petroleum (lp),Liquefied petroleum (LP),,486110,govai
livestock,Livestock,,311511,govai
lubricating oil and greases,Lubricating oil and greases,,324191,govai
"luggage, including backpacks","Luggage, including backpacks",,316992,govai
"magazines and newspapers, including issue format comic books","Magazines and newspapers, including issue format comic books",,511110,govai
major household appliances and related parts and accessories,Major household appliances and related parts and accessories,,335220,govai
manufactured (mobile) homes,Manufactured (mobile) homes,,321991,govai
marine machinery and equipment,Marine machinery and equipment,,333618,govai
marine propulsion machinery and equipment and marine supplies,Marine propulsion machinery and equipment and marine supplies,,333618,govai
"materials and supplies for electronic and electrical equipment, appliances, and component manufacturing","Materials and supplies for electronic and electrical equipment, appliances, and component manufacturing",,335999,govai
materials and supplies for glass products manufacturing,Materials and supplies for glass products manufacturing,,327212,govai
"materials and supplies for professional and service industries, not elsewhere classified","Materials and supplies for professional and service industries, not elsewhere classified",,333999,govai
materials and supplies for tobacco manufacturing,Materials and supplies for tobacco manufacturing,,312230,govai
"mattresses, box springs, and air mattresses","Mattresses, box springs, and air mattresses",,337910,govai
mechanical power transmission supplies,Mechanical power transmission supplies,,333612,govai
"medical, dental, and veterinary equipment","Medical, dental, and veterinary equipment",,339112,govai
"medical, dental, and veterinary instruments and supplies","Medical, dental, and veterinary instruments and supplies",,339112,govai
"medicines, vitamins, minerals, and supplements","Medicines, vitamins, minerals, and supplements",,325411,govai
men's and women's accessories (except costume jewelry),Men's and women's accessories (except costume jewelry),,315990,govai
men's clothing,Men's clothing,,315220,govai
"metal castings, forgings, and stampings","Metal castings, forgings, and stampings",,332100,govai
metal structural products,Metal structural products,,332312,govai
"metalworking machinery and equipment, except welding equipment","Metalworking machinery and equipment, except welding equipment",,333514,govai
millwork,Millwork,,321918,govai
"miscellaneous chemicals and supplies, including adhesives, dry ice and plastic materials","Miscellaneous chemicals and supplies, including adhesives, dry ice and plastic materials",,325520,govai
"motor homes, travel trailers, and campers","Motor homes, travel trailers, and campers",,441210,govai
"motor homes, travel trailers, and campers","Motor homes, travel trailers, and campers",,336214,govai
motorcycles and other sports vehicles,Motorcycles and other sports vehicles,,336991,govai
"motorcycles, motor scooters, motor bikes, including parts and accessories","Motorcycles, motor scooters, motor bikes, including parts and accessories",,336991,govai
musical instruments,Musical instruments,,339992,govai
"musical instruments, sheet music, and related items","Musical instruments, sheet music, and related items",,339992,govai
"nails, wire rope, strand, strapping and reinforcement mesh","Nails, wire rope, strand, strapping and reinforcement mesh",,331222,govai
navigational and measuring equipment,Navigational and measuring equipment,,334511,govai
"new and rebuilt automotive parts and supplies, and trailer parts and supplies, except automotive bodies and chemicals","New and rebuilt automotive parts and supplies, and trailer parts and supplies, except automotive bodies and chemicals",,336310,govai
"new and used aircraft, engines, and parts and accessories","New and used aircraft, engines, and parts and accessories",,336411,govai
new and used automobiles,New and used automobiles,,441110,govai
"new controlling, recording, and indicating instruments and accessories","New controlling, recording, and indicating instruments and accessories",,334513,govai
new food-processing machinery and equipment,New food-processing machinery and equipment,,333241,govai
new heavy truck bodies,New heavy truck bodies,,336211,govai
"new industrial machinery and equipment, not elsewhere classified, including storage tanks, pumps, and scales","New industrial machinery and equipment, not elsewhere classified, including storage tanks, pumps, and scales",,333999,govai
new irrigation equipment and parts,New irrigation equipment and parts,,333111,govai
"new light truck, van, and suv bodies","New light truck, van, and SUV bodies",,336211,govai
new materials handling machinery and equipment,New materials handling machinery and equipment,,333922,govai
new printing trades machinery and equipment,New printing trades machinery and equipment,,333244,govai
new textile and sewing machinery and equipment,New textile and sewing machinery and equipment,,333292,govai
new woodworking machinery,New woodworking machinery,,333243,govai
"newspapers, periodicals, books and other publications, except greeting cards","Newspapers, periodicals, books and other publications, except greeting cards",,424920,govai
nonagricultural insecticides,Nonagricultural insecticides,,325320,govai
nonelectric signs and coin-operated games,Nonelectric signs and coin-operated games,,339950,govai
"nonferrous metals, including magnesium, nickel, tin, lead, and zinc, except gemstones","Nonferrous metals, including magnesium, nickel, tin, lead, and zinc, except gemstones",,331419,govai
"nonlumber forest products, including hewn posts, poles, and railroad ties","Nonlumber forest products, including hewn posts, poles, and railroad ties",,321114,govai
nonpackaging paper and plastic,Nonpackaging paper and plastic,,326199,govai
nonpower driven hand tools,Nonpower driven hand tools,,332216,govai
"nonwood roofing, siding, and insulation products","Nonwood roofing, siding, and insulation products",,324122,govai
"notions, including buttons, ribbons, lace, sewing accessories, zippers, and bindings","Notions, including buttons, ribbons, lace, sewing accessories, zippers, and bindings",,339993,govai
"novelties and souvenirs, except novelty glassware","Novelties and souvenirs, except novelty glassware",,339999,govai
"office and school supplies, packaging and packing materials and supplies, and other general industry and miscellaneous materials and supplies","Office and school supplies, packaging and packing materials and supplies, and other general industry and miscellaneous materials and supplies",,339940,govai
office equipment and furniture (except computers),Office equipment and furniture (except computers),,337214,govai
"office equipment, except computers","Office equipment, except computers",,333313,govai
office furniture,Office furniture,,337211,govai
office supplies,Office supplies,,339940,govai
oil well and pipeline machinery and equipment,Oil well and pipeline machinery and equipment,,333132,govai
oil well and pipeline machinery parts and supplies,Oil well and pipeline machinery parts and supplies,,333132,govai
optical and ophthalmic goods and supplies,Optical and ophthalmic goods and supplies,,339115,govai
"orthopedic and prosthetic appliances and supplies, including wheelchairs, walkers, crutches, canes, and hearing aids","Orthopedic and prosthetic appliances and supplies, including wheelchairs, walkers, crutches, canes, and hearing aids",,339113,govai
other construction materials and supplies,Other construction materials and supplies,,327999,govai
"other fuels, not elsewhere classified","Other fuels, not elsewhere classified",,324199,govai
"other goods, not elsewhere classified","Other goods, not elsewhere classified",,339999,govai
"other goods, not elsewhere classified","Other goods, not elsewhere classified",,339999,govai
other home furnishings and accessories,Other home furnishings and accessories,,337125,govai
"other industrial materials and supplies, including abrasives and welding supplies","Other industrial materials and supplies, including abrasives and welding supplies",,332813,govai
"other petroleum products, including asphalt, road oil, and wax","Other petroleum products, including asphalt, road oil, and wax",,324121,govai
"other primary, secondary and alloyed nonferrous metals in primary and mill shapes","Other primary, secondary and alloyed nonferrous metals in primary and mill shapes",,331410,govai
"other sporting goods and equipment, excluding sport vehicles","Other sporting goods and equipment, excluding sport vehicles",,339920,govai
other transportation equipment,Other transportation equipment,,336399,govai
outdoor/ patio furniture,Outdoor/ patio furniture,,337122,govai
packing and packaging materials and supplies,Packing and packaging materials and supplies,,322220,govai
paint and sundries,Paint and sundries,,325510,govai
"paint, paint supplies, and wallpaper and supplies","Paint, paint supplies, and wallpaper and supplies",,325510,govai
pallets and skids,Pallets and skids,,321920,govai
perishable prepared foods,Perishable prepared foods,,311991,govai
"personal care paper products, including disposable diapers, feminine hygiene products, and similar","Personal care paper products, including disposable diapers, feminine hygiene products, and similar",,322291,govai
personal hygiene supplies,Personal hygiene supplies,,325611,govai
pet foods and supplies,Pet foods and supplies,,311119,govai
petroleum products marketing equipment,Petroleum products marketing equipment,,333914,govai
photographic equipment and supplies,Photographic equipment and supplies,,333316,govai
photographic supplies,Photographic supplies,,325992,govai
"plastic pipes, rods, tubes, and shapes, except plastic plumbing pipes","Plastic pipes, rods, tubes, and shapes, except plastic plumbing pipes",,326199,govai
plastic plumbing pipes and tubing,Plastic plumbing pipes and tubing,,326122,govai
"plumbing equipment, except pipes and tubing","Plumbing equipment, except pipes and tubing",,332913,govai
"plumbing, electrical, and hvac supplies","Plumbing, electrical, and HVAC supplies",,332913,govai
"power tools and equipment, including portable electric power tools, power air tools, stationary/bench top power tools, and accessories (blades, bits, etc.)","Power tools and equipment, including portable electric power tools, power air tools, stationary/bench top power tools, and accessories (blades, bits, etc.)",,333991,govai
precious metals,Precious metals,,331410,govai
"primary, secondary and alloyed aluminum in primary and mill shapes","Primary, secondary and alloyed aluminum in primary and mill shapes",,331313,govai
"primary, secondary and alloyed copper and brass in primary and mill shapes, except pipe and tube","Primary, secondary and alloyed copper and brass in primary and mill shapes, except pipe and tube",,331420,govai
printing paper,Printing paper,,322121,govai
pulpwood,Pulpwood,,321113,govai
recyclable ferrous metal scrap,Recyclable ferrous metal scrap,,331110,govai
recyclable nonferrous metal scrap,Recyclable nonferrous metal scrap,,331420,govai
recyclable paper and paperboard,Recyclable paper and paperboard,,322130,govai
recyclable plastics and rubber,Recyclable plastics and rubber,,325992,govai
"recyclable textiles, including rags and textile scraps","Recyclable textiles, including rags and textile scraps",,313310,govai
"refined petroleum products, except liquefied petroleum (lp)","Refined petroleum products, except liquefied petroleum (LP)",,324110,govai
refrigeration equipment,Refrigeration equipment,,333415,govai
religious supplies,Religious supplies,,339994,govai
"restaurant, commercial food service and hotel equipment","Restaurant, commercial food service and hotel equipment",,333241,govai
"rough, dressed, and finished dimensional lumber, plywood and panels","Rough, dressed, and finished dimensional lumber, plywood and panels",,321210,govai
safes and vaults,Safes and vaults,,332999,govai
safety equipment,Safety equipment,,339113,govai
school supplies,School supplies,,339940,govai
semi-finished iron and steel products,Semi-finished iron and steel products,,331221,govai
"small household appliances, including mixers; blenders; can openers; toasters; coffee makers; frypans; personal care appliances, such as hair dryers, curling irons, and shavers; tap water purifiers and filters; etc","Small household appliances, including mixers; blenders; can openers; toasters; coffee makers; frypans; personal care appliances, such as hair dryers, curling irons, and shavers; tap water purifiers and filters; etc.",,335210,govai
soft drinks and nonalcoholic beverages,Soft drinks and nonalcoholic beverages,,312111,govai
"specialized industrial machinery and equipment, including welding, not elsewhere classified","Specialized industrial machinery and equipment, including welding, not elsewhere classified",,333249,govai
"specialty pharmaceuticals, including vaccines, laboratory diagnostic reagents, and similar","Specialty pharmaceuticals, including vaccines, laboratory diagnostic reagents, and similar",,325412,govai
sporting and recreational equipment,Sporting and recreational equipment,,339920,govai
stainless steel,Stainless steel,,331210,govai
store equipment,Store equipment,,333415,govai
strapping and tape,Strapping and tape,,332999,govai
swimming pools and swimming pool supplies,Swimming pools and swimming pool supplies,,453998,govai
synthetic resins,Synthetic resins,,325211,govai
"tableware, kitchenware, cookware, and glassware, except cutlery and novelty glassware","Tableware, kitchenware, cookware, and glassware, except cutlery and novelty glassware",,442299,govai
"tableware, kitchenware, cookware, glassware","Tableware, kitchenware, cookware, glassware",,327110,govai
"televisions, audio and video equipment","Televisions, audio and video equipment",,334310,govai
"televisions, home audio and visual equipment","Televisions, home audio and visual equipment",,334310,govai
"textile bags, bagging and burlap","Textile bags, bagging and burlap",,314910,govai
tires and tubes,Tires and tubes,,326211,govai
tobacco products and smoking accessories,Tobacco products and smoking accessories,,312230,govai
"toys, games, and hobby and craft supplies","Toys, games, and hobby and craft supplies",,339930,govai
"toys, games, and hobby goods","Toys, games, and hobby goods",,339930,govai
used automotive parts and accessories,Used automotive parts and accessories,,423140,govai
used industrial machinery and equipment,Used industrial machinery and equipment,,423830,govai
vitamins and nutritional and herbal supplements,Vitamins and nutritional and herbal supplements,,325411,govai
"window treatments, including rods, poles, and fixtures","Window treatments, including rods, poles, and fixtures",,337920,govai
"wire, including plain, coated, barbed, and twisted","Wire, including plain, coated, barbed, and twisted",,331222,govai
women's clothing,Women's clothing,,315240,govai
yarns,Yarns,,313110,govai
athletic uniforms,Wholesale sales of athletic uniforms,4000575000,31528,manual
baking ingredients,Wholesale sales of baking ingredients,4000225000,31121,manual
baking ingredients,Wholesale sales of baking ingredients,4000225001,31122,manual
beer and ale,Wholesale sales of beer and ale,4000375000,31212,manual
clothing accessories,Wholesale sales of clothing accessories,4000625000,3159,manual
"coffee, tea, and powdered drink mixes","Wholesale sales of coffee, tea, and powdered drink mixes",4000300000,31192,manual
confectionery and snack foods,Wholesale sales of confectionery and snack foods,4000100000,3113,manual
"cookies, bread, and baked goods","Wholesale sales of cookies, bread, and baked goods",4000125000,31181,manual
costume jewelry,Wholesale sales of costume jewelry,4000650000,33991,manual
"dairy products, except dried, canned, condensed, and evaporated dairy products","Wholesale sales of dairy products, except dried, canned, condensed, and evaporated dairy products",4000050000,11212,manual
"dairy products, except dried, canned, condensed, and evaporated dairy products","Wholesale sales of dairy products, except dried, canned, condensed, and evaporated dairy products",4000050001,311511,manual
"dairy products, except dried, canned, condensed, and evaporated dairy products","Wholesale sales of dairy products, except dried, canned, condensed, and evaporated dairy products",4000050002,311512,manual
"dairy products, except dried, canned, condensed, and evaporated dairy products","Wholesale sales of dairy products, except dried, canned, condensed, and evaporated dairy products",4000050003,311513,manual
"eggs and poultry, except canned and frozen poultry products","Wholesale sales of eggs and poultry, except canned and frozen poultry products",4000075000,1123,manual
"eggs and poultry, except canned and frozen poultry products","Wholesale sales of eggs and poultry, except canned and frozen poultry products",4000075000,311615,manual
"fish and seafood, except canned and frozen fish and seafood","Wholesale sales of fish and seafood, except canned and frozen fish and seafood",4000150000,1141,manual
"fish and seafood, except canned and frozen fish and seafood","Wholesale sales of fish and seafood, except canned and frozen fish and seafood",4000150001,3117,manual
"fish and seafood, except canned and frozen fish and seafood","Wholesale sales of fish and seafood, except canned and frozen fish and seafood",4000150002,1125,manual
"food and beverage basic materials, including flavoring extracts, fruit peel, sausage casings, hop extract, malt, and yeast","Wholesale sales of food and beverage basic materials, including flavoring extracts, fruit peel, sausage casings, hop extract, malt, and yeast",4000325000,31193,manual
footwear and footwear accessories,Wholesale sales of footwear and footwear accessories,4000600000,3162,manual
fresh fruits and vegetables,Wholesale sales of fresh fruits and vegetables,4000200000,1112,manual
fresh fruits and vegetables,Wholesale sales of fresh fruits and vegetables,4000200001,1113,manual
"fresh meat and meat products, except canned and frozen","Wholesale sales of fresh meat and meat products, except canned and frozen",4000175000,1121,manual
"fresh meat and meat products, except canned and frozen","Wholesale sales of fresh meat and meat products, except canned and frozen",4000175001,1122,manual
"fresh meat and meat products, except canned and frozen","Wholesale sales of fresh meat and meat products, except canned and frozen",4000175002,1124,manual
"fresh meat and meat products, except canned and frozen","Wholesale sales of fresh meat and meat products, except canned and frozen",4000175003,311611,manual
"fresh meat and meat products, except canned and frozen","Wholesale sales of fresh meat and meat products, except canned and frozen",4000175004,311612,manual
"fresh meat and meat products, except canned and frozen","Wholesale sales of fresh meat and meat products, except canned and frozen",4000175005,311613,manual
grocery specialties,Wholesale sales of grocery specialties,4000275000,311991,manual
household and lawn furniture,Wholesale sales of household and lawn furniture,4000750000,3371,manual
ice,Wholesale sales of ice,4000425000,312113,manual
"infants' and children's clothing, to size 6x, including accessories","Wholesale sales of infants' and children's clothing, to size 6X, including accessories",4000550000,31524,manual
"jewelry, except costume","Wholesale sales of jewelry, except costume",4000675000,33991,manual
men's and boys' clothing,Wholesale sales of men's and boys' clothing,4000500000,31522,manual
nonperishable (canned and packaged) food,Wholesale sales of nonperishable (canned and packaged) food,4000250000,31191,manual
nonperishable (canned and packaged) food,Wholesale sales of nonperishable (canned and packaged) food,4000250001,311514,manual
nonperishable (canned and packaged) food,Wholesale sales of nonperishable (canned and packaged) food,4000250002,31142,manual
nonperishable (canned and packaged) food,Wholesale sales of nonperishable (canned and packaged) food,4000250003,31194,manual
nonperishable (canned and packaged) food,Wholesale sales of nonperishable (canned and packaged) food,4000250004,311999,manual
"other textile house furnishings, except floor coverings","Wholesale sales of other textile house furnishings, except floor coverings",4000800000,3141,manual
packaged frozen food,Wholesale sales of packaged frozen food,4000025000,31141,manual
packaged frozen food,Wholesale sales of packaged frozen food,4000025001,31152,manual
"soft drinks, bottled water, juices, and nonalcoholic beverages","Wholesale sales of soft drinks, bottled water, juices, and nonalcoholic beverages",4000350000,312111,manual
"soft drinks, bottled water, juices, and nonalcoholic beverages","Wholesale sales of soft drinks, bottled water, juices, and nonalcoholic beverages",4000350001,312112,manual
"soybean, cottonseed, linseed, peanut, sunflower seed, and all other oilseed cake and meal","Wholesale sales of soybean, cottonseed, linseed, peanut, sunflower seed, and all other oilseed cake and meal",4000230000,311224,manual
"soybean, cottonseed, linseed, peanut, sunflower seed, and all other oilseed cake and meal","Wholesale sales of soybean, cottonseed, linseed, peanut, sunflower seed, and all other oilseed cake and meal",4000230000,311225,manual
tobacco products and electronic cigarettes,Wholesale sales of tobacco products and electronic cigarettes,4000450000,3122,manual
window treatments,Wholesale sales of window treatments,4000775000,33792,manual
"wine and distilled liquor, including premixed alcoholic drinks","Wholesale sales of wine and distilled liquor, including premixed alcoholic drinks",4000400000,31213,manual
"women's, misses', and girls' clothing","Wholesale sales of women's, misses', and girls' clothing ",4000525000,31524,manual
"home lawn and garden equipment, tools, and supplies, except fresh flowers, florists' supplies, live trees, plants, and nursery stock","Wholesale sales of home lawn and garden equipment, tools, and supplies, except fresh flowers, florists' supplies, live trees, plants, and nursery stock",4000975000,,unmatched
"new industrial machinery and equipment, not elsewhere classified, including storage tanks, pumps and scales","Wholesale sales of new industrial machinery and equipment, not elsewhere classified, including storage tanks, pumps and scales",4002425000,,unmatched
other materials and supplies for textile mills,Wholesale sales of other materials and supplies for textile mills,4003125000,,unmatched
smoking accessories,Wholesale sales of smoking accessories,4000475000,,unmatched
